Id,Sentiment,Text Tweet,clean_teks,clean_teks2,topic,internet,kartu,harga,embedding
1,1,<USER_MENTION> #BOIKOT_<PROVIDER_NAME> Gunakan Produk Bangsa Sendiri <PROVIDER_NAME>,produk bangsa,"['produk', 'bangsa']",0,0.34200242,0.5423676,0.5736701,"[-9.31212157e-02 -5.87182399e-03  4.05846611e-02 -8.53263065e-02
  2.99819056e-02  5.61583973e-02 -8.01011622e-02  3.63603979e-02
  3.76253091e-02  1.30514912e-02 -1.67218968e-02  2.31947750e-04
  7.62473568e-02 -1.31186798e-01 -5.68428077e-02 -1.08135194e-01
  1.21106818e-01 -2.18711980e-02  5.10501862e-02  3.29756588e-02
 -4.69713323e-02  6.66994601e-03 -9.85381901e-02  2.43279245e-03
 -8.11477005e-02 -8.13177526e-02 -1.35582596e-01  6.92924485e-02
 -8.93983841e-02  7.04099238e-02  1.22632831e-04 -1.02053463e-01
  8.36182982e-02  1.13756239e-01 -9.39653814e-03 -4.86883195e-03
  1.10593967e-01  3.62700261e-02 -5.78377470e-02  9.59309861e-02
  7.15813115e-02  1.17260993e-01  3.14939320e-02 -5.79011664e-02
 -3.13035548e-02  8.74489546e-04 -4.85707000e-02 -3.00485529e-02
 -1.22208543e-01  2.97245160e-02 -5.92913963e-02  3.70424949e-02
 -2.90339626e-03  3.88441719e-02 -1.39194215e-02 -1.55591499e-02
 -1.10900059e-01 -4.95053828e-02  4.54399362e-02  1.49776742e-01
  4.79542539e-02  1.58757672e-01  2.37099119e-02  3.39211598e-02
 -3.26378420e-02 -9.16043967e-02 -1.17835604e-01 -9.46659595e-04
 -1.10527307e-01 -2.89082341e-02  7.18914196e-02  1.20053396e-01
  9.70701575e-02  1.00240856e-02 -7.58826733e-02  3.54695171e-02
 -3.65033522e-02 -1.31716095e-02 -9.65297520e-02 -3.45572866e-02
  4.87537235e-02 -6.55895397e-02 -5.07109798e-04  6.31123036e-03
 -1.22950822e-01  2.91124247e-02  9.26316381e-02  4.82446067e-02
 -6.71775267e-03 -4.29999605e-02 -1.09076142e-01 -3.40119749e-03
 -1.18885353e-01  4.75537032e-02 -1.74042374e-01  7.25577027e-02
 -3.32787037e-02  6.68731257e-02  1.44659355e-03  1.21163111e-02]"
2,1,"Saktinya balik lagi, alhamdulillah :v <PROVIDER_NAME>",sakti alhamdulillah v,"['sakti', 'alhamdulillah', 'v']",2,0.19700278,0.4879082,0.52637094,"[-0.01047407 -0.02962551  0.02845735  0.01960999 -0.02124665  0.08619522
 -0.06768668 -0.04090459 -0.03256186  0.13250683 -0.03068568  0.07331989
 -0.08350404  0.01103015 -0.0383582  -0.04495225 -0.05165926 -0.01140306
 -0.01517965  0.00422111  0.02277993  0.04664159  0.02573704  0.06701688
 -0.00728433 -0.04096863 -0.01212409 -0.0328802  -0.01813975 -0.01114078
  0.02330942  0.04077183 -0.02818873  0.00489229  0.0390714  -0.06539802
  0.05402523  0.03948345 -0.02069227 -0.10757627  0.01705549  0.00780517
 -0.11617766 -0.02075975 -0.05943083  0.01918594  0.00469641 -0.09815246
  0.13774137 -0.06261558  0.00267768 -0.03144657 -0.02604258 -0.03406349
 -0.09672043  0.0931081   0.01718469  0.02322311  0.03286035 -0.05643389
 -0.03908568 -0.05294655 -0.05892569  0.03631035 -0.01503048 -0.01493485
 -0.12330634  0.05156532 -0.03912792  0.04395141 -0.02477609  0.03256408
 -0.02385582 -0.02632186  0.08119259  0.00753025 -0.11377474 -0.08739057
 -0.07654377  0.15360449 -0.02213674  0.00066449 -0.04661991 -0.015357
 -0.02124691  0.08215325  0.04478605 -0.05996418 -0.04675299 -0.00634722
  0.03236954 -0.01358146  0.03631656 -0.07334892 -0.03557999  0.07018632
 -0.11879203 -0.00446183 -0.01853224 -0.02404603]"
3,0,Selamat pagi <PROVIDER_NAME>  bisa bantu kenapa di dalam kamar sinyal 4G hilang yang 1 lagi panggilan darurat saja  <URL>,selamat pagi bantu kamar sinyal g hilang panggil darurat,"['selamat', 'pagi', 'bantu', 'kamar', 'sinyal', 'g', 'hilang', 'panggil', 'darurat']",0,0.47857,0.57839453,0.6539629,"[-0.00882929  0.04934778  0.00065035 -0.0304734   0.02005745  0.07007088
 -0.03063864  0.01320415  0.01138976  0.02963528 -0.0084973   0.03190036
 -0.05031246 -0.02626553  0.05169849 -0.07802733  0.06212378  0.032861
 -0.08447582 -0.01671719 -0.00382266 -0.00965184 -0.08242148 -0.03295045
  0.06677463  0.06131722  0.03525503 -0.05357927 -0.03951729  0.03520365
  0.02606025 -0.00109284  0.05510012 -0.01342339  0.03777406  0.01876108
 -0.01822433 -0.04283252 -0.07610587 -0.02236911 -0.03153549  0.01571792
 -0.01915408  0.00426719  0.03153721  0.02364724 -0.03886191  0.03215196
 -0.04199395 -0.03149692 -0.01356808  0.00806349  0.04537118 -0.00234556
  0.00204114  0.0036889   0.01095528  0.05021149  0.00434149 -0.0336306
 -0.00826073 -0.006331   -0.05653187 -0.04205471 -0.03149039 -0.00699518
  0.0447755  -0.01622456  0.00056335 -0.02016455  0.02822688  0.04179529
  0.03801738 -0.09554521  0.05054176 -0.05142936  0.01055128  0.02530425
 -0.01276211 -0.04692069 -0.02719044  0.02245689  0.02313285  0.00947879
 -0.05110988  0.05913258 -0.02643511  0.00658685 -0.00562227  0.00445053
  0.00507701 -0.00647042  0.00885282  0.01674149  0.000443   -0.02113316
  0.04241317 -0.03607834 -0.05084332  0.05154993]"
4,0,Dear <PROVIDER_NAME> akhir2 ini jaringan data lemot banget padahal H+ !!!!,dear jaringan data lot banget h,"['dear', 'jaringan', 'data', 'lot', 'banget', 'h']",2,0.5759246,0.5336545,0.62986463,"[-0.07762234  0.05477393 -0.00564887 -0.04841197 -0.03753148 -0.04540381
 -0.02034355  0.06164851  0.05205132  0.0211444   0.06237951 -0.05237768
  0.02889433 -0.07242665 -0.06473491 -0.05909669  0.04526989  0.00521972
 -0.02572969 -0.15423614 -0.0486276  -0.05545777 -0.02068345 -0.01750528
 -0.04914029 -0.00978987 -0.02407449 -0.03235302 -0.00344924  0.02577631
  0.01015921 -0.00099209  0.042626    0.06417175 -0.01458807  0.05221935
 -0.00278284 -0.01974504 -0.05671599 -0.0238953   0.05196472 -0.01455899
  0.00931239 -0.00625902 -0.04038528  0.04396862 -0.08189314 -0.01635758
 -0.03803334 -0.01622267 -0.01036852 -0.03083619 -0.00592322  0.06740698
 -0.0436081  -0.00996271 -0.02943505  0.02116435  0.0918811   0.0025539
  0.00942165 -0.01149436  0.03341761 -0.04246696  0.02443309  0.00732239
  0.03383077  0.0121137   0.0496801  -0.03845547 -0.01848741  0.10388312
  0.02479029  0.0072994  -0.01732915  0.02326563  0.03317383 -0.08238257
  0.05902721  0.04913412  0.03154613 -0.02163247  0.01810884  0.00505103
 -0.00620731  0.02152197 -0.03535012  0.02477675  0.01221268  0.02957558
 -0.08422334  0.02379534 -0.06868834 -0.03939588  0.06113586 -0.06067249
 -0.0131363  -0.01151062  0.04632318  0.07541315]"
5,0,Selamat malam PENDUSTA <PROVIDER_NAME> ,selamat malam dusta,"['selamat', 'malam', 'dusta']",2,0.29737532,0.56031376,0.55465066,"[-0.01518235  0.02551184  0.02011502  0.12714379  0.10017667 -0.02554725
 -0.15632445  0.05651082 -0.00202801  0.03580501 -0.00147421 -0.02193695
 -0.03145082 -0.02411238  0.01487666  0.01574927  0.02847569  0.0533303
 -0.00778381 -0.13427512  0.07198191 -0.01772559  0.0243719  -0.03885117
  0.06452221  0.02280012  0.0958803  -0.07584221 -0.05652736  0.08970895
  0.05636578  0.10902748 -0.03003078 -0.0309491   0.03527928 -0.01604223
 -0.01874156 -0.00520997 -0.07674929 -0.00419177 -0.00451442 -0.02172262
  0.00664822  0.04388623 -0.0061952  -0.00378024 -0.00882446  0.03498242
  0.05636412 -0.107963    0.03520862  0.00525974  0.01334868 -0.00306358
 -0.06015985  0.04750673 -0.10491884 -0.01533531  0.09920374  0.01817383
  0.074896   -0.01546481 -0.08224682 -0.09074083  0.10284775 -0.00187257
  0.01523506  0.04537614 -0.02869216 -0.02384722  0.03095934  0.08933843
  0.09015762 -0.06983956  0.02535864 -0.01752247 -0.02234585  0.01945763
 -0.01536846 -0.07018609 -0.03324272  0.02126735  0.09499415  0.07788732
  0.03974896  0.13891773  0.09927572 -0.10044464 -0.00526065 -0.0450471
 -0.02790702  0.00589382 -0.02440792 -0.02265199  0.05349313  0.03798584
 -0.05973129 -0.10907018  0.00265613  0.04162499]"
6,0,Untuk penembakan paket dari <PRODUCT_NAME> masih gangguan ya <PROVIDER_NAME>,tembak paket ganggu ya,"['tembak', 'paket', 'ganggu', 'ya']",0,0.45991582,0.60273546,0.5617963,"[-0.00203439 -0.0108756   0.06286646  0.02328198  0.03126074  0.01046265
  0.03076292  0.06315047 -0.02902475  0.04461831  0.02128663 -0.00999339
 -0.03080439 -0.02923626 -0.02324585 -0.02163513 -0.01496598 -0.0036929
  0.0264976  -0.03311642 -0.06081865 -0.02997348 -0.0141037   0.01146321
 -0.14141697  0.06720611 -0.05812657  0.02511039  0.09212716 -0.01831835
  0.03943236 -0.0267001   0.09671088  0.05987354  0.03335327  0.02861614
  0.01033933  0.04458366  0.0636878  -0.02845919 -0.02786243 -0.07836603
 -0.01233331  0.02090046 -0.05896419  0.0189078   0.01598828 -0.01350083
  0.01555464  0.00183324 -0.00555064  0.03756566 -0.0640554   0.07719886
 -0.01543871 -0.01555066 -0.07440838  0.01009594 -0.0378063  -0.15646623
  0.04628001 -0.05607292 -0.06022957  0.0398921   0.03151837  0.04551895
  0.04703032  0.05232199 -0.03699316 -0.05509647  0.09257572  0.06483807
  0.02935066  0.08440633  0.09996918 -0.00610615  0.01448377  0.02600922
  0.08015428  0.07107953 -0.02399946 -0.04728071  0.02541852  0.06375858
 -0.04822776 -0.03993406 -0.09460209  0.11404651 -0.00921852  0.04481913
  0.04198285  0.10009865  0.04584188 -0.05574737  0.01306139  0.02072355
 -0.02324678  0.00413366 -0.10399706  0.08598612]"
7,1,"<PROVIDER_NAME>  aku pakai <PROVIDER_NAME>, paket <PRODUCT_NAME> nya udah off tapi gantinya ada paket <PRODUCT_NAME> yg bisa gratisan youtube, senang banget <PROVIDER_NAME>",pakai paket nya udah off ganti paket yg gratis youtube senang banget,"['pakai', 'paket', 'nya', 'udah', 'off', 'ganti', 'paket', 'yg', 'gratis', 'youtube', 'senang', 'banget']",0,0.5326162,0.5382082,0.5241465,"[-7.33417720e-02  9.25638899e-03  9.16292984e-03 -4.08357382e-02
  2.38122959e-02  4.35252637e-02 -2.44030040e-02  1.21569568e-02
  1.06961876e-02  2.43441667e-02  2.73478497e-02 -8.35577864e-03
 -5.77372424e-02  9.39213112e-03 -2.06548721e-02 -3.16726752e-02
 -2.17907056e-02 -5.17562777e-03  9.12465155e-04 -4.48662043e-02
 -3.10877655e-02  4.68734205e-02 -7.05036819e-02 -1.04009742e-02
 -3.28992866e-02 -7.50060240e-03 -2.33416706e-02 -5.80183156e-02
  3.28849144e-02  5.43486290e-02 -2.49735117e-02  1.78026035e-02
  6.56128451e-02 -2.51285043e-02 -1.23191625e-02  3.15228440e-02
  5.08128153e-03  1.31082376e-02 -9.04935040e-03  1.48887159e-02
  1.99775491e-02 -6.44526705e-02 -1.34097477e-02 -1.02989553e-02
 -1.37578594e-02  5.90088852e-02 -4.10022810e-02 -4.75247614e-02
 -3.00867092e-02  2.03499068e-02 -5.69039881e-02  3.02294847e-02
 -2.24506725e-02  2.30174884e-02 -1.17384987e-02 -2.76155770e-02
  3.64609383e-04  9.09106713e-03  5.43675013e-02 -5.54366298e-02
  1.04029812e-02 -4.38848101e-02 -6.28753304e-02  4.62060720e-02
  3.58665958e-02  6.09394461e-02 -4.45222668e-02  2.46274605e-04
  2.70265969e-03  2.55427789e-02  8.32062364e-02  7.92533904e-02
  7.41211465e-03  3.36099081e-02  6.97296411e-02 -4.23202217e-02
  1.55681148e-02 -4.34742570e-02  4.05674651e-02  4.35333252e-02
  1.73207067e-04  1.79573018e-02 -1.49220685e-02  2.93222275e-02
 -8.01954084e-05 -4.00805334e-03 -3.59537415e-02  1.22241773e-01
  6.12530997e-03  2.83686165e-02 -1.58197172e-02  1.38511164e-02
  2.77729873e-02 -2.03424301e-02 -1.40529862e-02  8.56025293e-02
 -4.17366289e-02  1.16119534e-02 -3.93387228e-02  5.02946861e-02]"
8,0,RT <USER_MENTION>: <PROVIDER_NAME> tak ada lagi dalam kamus perhapean saya. #Boikot<PROVIDER_NAME> <URL>,rt kamus perhapean,"['rt', 'kamus', 'perhapean']",1,0.5229139,0.65368456,0.7001942,"[-0.05067776  0.04704976  0.0200108  -0.03610148  0.01889607 -0.05688161
 -0.03409878  0.03376394 -0.04645504 -0.029282    0.1165429  -0.00373401
 -0.09923384 -0.07118094 -0.14342715 -0.04067684  0.02657092  0.02907623
 -0.10773018 -0.04785012 -0.0145533   0.02305086 -0.03843793  0.03153607
  0.10543225  0.02087568 -0.03380326 -0.0540035  -0.01044962  0.00224289
 -0.01842722 -0.03117637 -0.08356711 -0.04642668  0.03183625 -0.00281038
 -0.05860259  0.03065487 -0.06141651 -0.11140025  0.06255864  0.01326543
  0.02693149  0.02255071 -0.01637976 -0.07629729 -0.08610921 -0.05197103
 -0.00137141 -0.0692204  -0.0525519  -0.10925716 -0.00976738 -0.06721368
 -0.13203119 -0.00522835  0.01730709  0.07246088 -0.01727437  0.06725809
 -0.0329334  -0.03242407  0.00304422 -0.06706963 -0.04647396  0.03989069
 -0.02086329  0.02784307  0.02156098  0.0591497  -0.02056747  0.08430561
 -0.09846001  0.00654243  0.08048398  0.03505236 -0.1142691   0.02868537
 -0.09246065 -0.04093711 -0.02583856  0.00151231 -0.03353715 -0.07037106
 -0.08241024  0.03795911  0.22488387 -0.02248836 -0.07760689 -0.01006719
  0.07046299 -0.01038939 -0.04920725  0.05646327  0.0375707  -0.0475901
 -0.02160878  0.02043827 -0.07317248  0.08127657]"
9,0,keluhan gak ditanggapi. bikin emosi aja. pulsaku dicuri terus. soak deh. masa setiap hari pulsa berkurang 1500-2100 bisa 2-3*/hari,keluh gak tanggap bikin emosi aja pulsa curi soak deh pulsa kurang,"['keluh', 'gak', 'tanggap', 'bikin', 'emosi', 'aja', 'pulsa', 'curi', 'soak', 'deh', 'pulsa', 'kurang']",0,0.38639817,0.5583952,0.5326205,"[-0.00730132 -0.04380681  0.01566527 -0.02502139  0.04161425  0.03297118
  0.06478579  0.00109529  0.00371075  0.02109068 -0.03053084  0.03117172
 -0.02665395 -0.05767907 -0.04516992  0.0018216   0.01868696  0.02160355
 -0.01388364 -0.04053221 -0.02079493  0.02262742 -0.02911616  0.01205903
  0.0086407  -0.04075292 -0.03570723  0.02958812 -0.01814065  0.05254886
 -0.01147282  0.02727196 -0.00832066 -0.01003844 -0.00349155 -0.05624631
 -0.01259454 -0.00100976  0.01813029 -0.01407478  0.01037805 -0.02790349
  0.00325227  0.03964359  0.00114366  0.02641288 -0.00988442 -0.00631974
  0.02933785  0.02352914  0.01529461  0.00946304 -0.03495224  0.02065048
 -0.0274513  -0.01280501  0.03782957  0.00877327  0.0373087  -0.02040879
 -0.05187066  0.02446606 -0.03605856 -0.01732748  0.00062463  0.03365006
  0.05133216 -0.02270499  0.066978    0.08389661  0.04959339 -0.04480565
  0.01282946 -0.0092104  -0.03262345 -0.01815259  0.03084365 -0.00296018
  0.09072166  0.05652481  0.00702856  0.02186311  0.00350737 -0.02486754
 -0.0480593   0.04576707 -0.02643297  0.05058141  0.01458584 -0.03489192
  0.068873    0.03274807  0.057272    0.00496094 -0.02150029  0.04006748
  0.01625814 -0.05272378 -0.05261318  0.0317455 ]"
10,0,#Bilboard iklan <PROVIDER_NAME> kok ada pesan tersembunyi? #Boikot<PROVIDER_NAME> #Ramadhan <URL>,bilboard iklan pesan sembunyi ramadhan,"['bilboard', 'iklan', 'pesan', 'sembunyi', 'ramadhan']",1,0.5130411,0.40710098,0.5440138,"[-0.08191718 -0.05866637  0.04201521  0.01522882 -0.03990491 -0.02105554
  0.03518531  0.0425507  -0.08279482  0.04977595  0.00731465 -0.017022
 -0.05121843  0.01892451  0.01759595  0.03546636 -0.01928115 -0.00257698
 -0.00905305  0.10077704  0.09226256 -0.01838391  0.02286662  0.04245662
  0.01352846  0.02293908  0.0043658   0.00510862 -0.00495376  0.04877092
 -0.06513792 -0.02863384  0.03645241  0.00246824 -0.00949612  0.0221027
 -0.04667941 -0.02707473  0.04593761 -0.01375718  0.04794507 -0.0306821
  0.0543953   0.16825095  0.04404582  0.07134289  0.0367662   0.02023502
 -0.01461728  0.00855843  0.02905467 -0.00589216 -0.00406751 -0.04904574
  0.00798494  0.01457113 -0.01135014 -0.02443824  0.0961256   0.03745572
 -0.02187008  0.00970993  0.02266045 -0.05629037  0.06428614 -0.0276731
  0.00066809  0.01364359  0.07574914 -0.02813306  0.03564652  0.02880191
  0.03180653 -0.12494846 -0.004386    0.06518833 -0.00675399  0.05686607
 -0.06245806  0.0237273   0.04704034  0.00641933 -0.00779043 -0.02696288
 -0.01951814 -0.02410797  0.04277705 -0.04826132 -0.01000281 -0.00980703
 -0.02202081  0.002169   -0.02453076 -0.09462567 -0.05937221  0.00742008
  0.00564414 -0.00440148  0.00622021  0.0074842 ]"
